customer_id,name,email,city,country
1,Alice Smith,alice.smith@email.com,London,UK
2,Bob Johnson,bob.johnson@email.com,New York,USA
3,Charlie Brown,charlie.brown@email.com,Paris,France
4,Diana Lee,diana.lee@email.com,London,UK
5,Eve Williams,eve.williams@email.com,Tokyo,Japan
6,Frank Miller,frank.miller@email.com,New York,USA
7,Grace Davis,grace.davis@email.com,Berlin,Germany
8,Henry Wilson,henry.wilson@email.com,London,UK
9,Ivy Moore,ivy.moore@email.com,Paris,France
10,Jack Taylor,jack.taylor@email.com,Sydney,Australia
